Id,Predicted
1,644789.5822587549
2,825701.7052519249
3,420612.9770224826
4,580968.3861855705
5,654619.7399774248
6,95828.96514030271
7,119931.9527838986
8,268267.9975777041
9,238721.13179650862
10,665165.3170504957
11,215352.1248076833
12,399508.54130980454
13,596820.6097317347
14,503042.8785989957
15,446372.4619552994
16,1083663.3218354313
17,599179.1238663595
18,757767.9124952805
19,390469.0223384967
20,157878.0517792754
21,546266.6311308913
22,593087.0929179863
23,71542.1101402152
24,631895.3412825131
25,476017.54368209396
26,133143.64135348497
27,649029.8922683633
28,658853.0840991868
29,204372.7035760654
30,213218.5013990175
31,129306.99126115478
32,1701463.3252556412
33,282233.3828514989
34,86775.7048879675
35,276483.01682293066
36,649029.8922683633
37,293413.7648662905
38,741181.2295981587
39,346237.2884994658
40,160544.2961994822
41,256700.1532123044
42,180503.0742130418
43,110663.52747827531
44,656044.5407239556
45,546266.6311308913
46,702278.6141829393
47,323850.3752403317
48,151393.20048973188
49,530097.3115617954
50,381228.0938587259
51,130999.68415029845
52,210529.65765931315
53,387310.06358299084
54,577015.958238463
55,546266.6311308913
56,448247.403065439
57,692295.4742159891
58,100360.54504238919
59,1205547.3776696338
60,351957.3616423685
61,296880.649742949
62,190016.28042814886
63,464853.84904165386
64,204590.56737287802
65,408756.0222723499
66,298874.34590231517
67,400254.28596212715
68,413494.9267916954
69,346973.5661150523
70,448072.9451122573
71,464853.84904165386
72,620564.5134629738
73,132288.20392152964
74,757767.9124952805
75,343458.0540767741
76,42511.42835283786
77,352250.2924563343
78,324376.12757116253
79,221824.89864803542
80,861437.3619050732
81,209636.2935104514
82,1782383.3323949648
83,321337.6784594619
84,306036.894962245
85,499238.8491397753
86,679488.7283241078
87,1107958.082192469
88,186695.4776216739
89,250027.32789754882
90,1997062.059474284
91,164431.84973866688
92,179657.32103693672
93,753300.1147653648
94,613770.599984944
95,2679855.686280556
96,634010.4079893976
97,798792.2714937011
98,48741.613487614064
99,657606.3330986212
100,2906323.437757843
101,348549.4978315426
102,931732.0939812207
103,206456.62927309496
104,778387.276892415
105,910739.3312362608
106,221824.89864803542
107,1902030.305746119
108,303167.1975015963
109,247932.04146120988
110,788443.7062651066
111,452470.97951452615
112,190037.0171208785
113,438071.14549808955
114,443413.04487152514
115,294860.0013087816
116,250809.52939781966
117,520557.5168526735
118,431061.8367609282
119,221824.89864803542
120,196069.69952594963
121,347369.6151356256
122,100628.65980072033
123,741181.2295981587
124,369324.04238966916
125,711350.9343297625
126,274390.1027964645
127,323267.2125441685
128,344076.38669083983
129,125581.61179618891
130,546266.6311308913
131,363073.8442346867
132,435442.5122151789
133,90518.18183528876
134,230291.46825962383
135,185273.9655514305
136,123391.25640987657
137,305258.7693969511
138,346237.2884994658
139,972249.6350357046
140,1467788.1361065793
141,591810.2287448732
142,731947.6271984086
143,5458533.49611378
144,219343.06500336292
145,499238.8491397753
146,208050.90164265758
147,183728.8894669257
148,401553.4184358648
149,211032.91901979744
150,778387.276892415
151,488456.72474571667
152,230291.46825962383
153,645839.1363837026
154,562783.9013974047
155,163728.8217192488
156,373456.1408743854
157,577015.958238463
158,573362.1768671642
159,1822669.6581474417
160,232122.96374123177
161,236317.28913745243
162,545602.325813178
163,458811.31446532893
164,252600.97005172982
165,334703.3405486164
166,171639.7477718159
167,325828.6985417632
168,746843.3558443452
169,258128.36708514727
170,308170.6592628957
171,641016.2779222451
172,170201.85691946815
173,1191137.8343032515
174,220022.07959828872
175,173825.01138877566
176,627129.7242599863
177,432158.43262880796
178,446275.4255019261
179,217852.13391616216
180,80488.53884997954
181,207743.96879052807
182,235242.81259591502
183,499238.8491397753
184,1036767.2695617281
185,527240.0160642059
